Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
28.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,36,20002.519730506887
31.0,4.9,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.519730506887
34.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,37,20002.519730506887
31.0,4.6,Windy,High,2,Snack,motorcycle,1.0,No,Metropolitian,29,20002.519730506887
23.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,38,20002.519730498894
36.0,4.7,Sunny,Low,1,Buffet,scooter,0.0,No,Metropolitian,11,20002.519730498894
24.0,4.8,Sunny,Jam,2,Drinks,motorcycle,1.0,No,Urban,13,20002.519730498894
28.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Urban,28,20002.519730498894
23.0,4.6,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,26,20002.519730498036
28.0,4.6,Windy,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,27,20002.519730498036
28.0,4.8,Stormy,Jam,0,Drinks,motorcycle,,No,Metropolitian,25,20002.519730498036
25.0,4.8,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,29,20002.519730497854
37.0,3.8,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.519730497854
39.0,4.1,Stormy,Jam,2,Meal,scooter,3.0,Yes,Metropolitian,42,20002.519730497854
22.0,4.6,Stormy,Medium,2,Meal,scooter,1.0,No,Urban,22,20002.519730493856
31.0,4.9,Windy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.519730493856
33.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,24,20002.519730493856
29.0,4.8,Fog,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,38,20002.519730493856
27.0,4.6,Cloudy,Medium,1,Meal,scooter,0.0,No,Metropolitian,18,20002.519730493856
23.0,4.5,Stormy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.519730493856
28.0,4.4,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.519730493295
23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.519730493295
26.0,4.8,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.51973048759
31.0,4.9,Windy,Jam,1,Snack,scooter,0.0,No,Metropolitian,31,20002.51973048759
,,,,3,Snack,scooter,1.0,No,Metropolitian,39,20002.51973048759
36.0,4.4,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,38,20002.51973048224
,,Windy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,27,20002.51973048224
39.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,20002.51973048224
31.0,4.7,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Urban,25,20002.519730476462
39.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,52,20002.519730476462
34.0,4.7,Cloudy,Medium,0,Meal,motorcycle,0.0,Yes,Metropolitian,42,20002.519730476462
38.0,4.8,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,28,20002.519730476462
20.0,4.6,Fog,Jam,0,Meal,motorcycle,1.0,No,Urban,29,20002.519729371816
34.0,4.9,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,15,20002.519729371816
37.0,4.3,Fog,Low,0,Meal,motorcycle,2.0,No,Metropolitian,43,20002.519729371816
30.0,4.4,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,32,20002.519729371816
24.0,4.0,Cloudy,Jam,1,Drinks,scooter,1.0,No,Urban,32,20002.519729371816
22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22,20002.519729371816
27.0,4.7,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,20002.519729371816
35.0,4.4,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,40,20002.519729371816
31.0,4.5,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,25,20002.519729371816
27.0,4.6,Windy,High,1,Drinks,motorcycle,0.0,No,Urban,27,20002.519729371816
37.0,4.7,Stormy,Low,1,Buffet,scooter,0.0,No,Urban,21,20002.519729371816
31.0,4.1,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,44,20002.519729371816
,,Fog,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,33,20002.519729371816
21.0,5.0,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,24,20002.519729371816
27.0,4.0,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,34,20002.519729371816
38.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Urban,28,20002.519729180254
22.0,4.0,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,32,20002.519729180254
36.0,4.6,Windy,Medium,1,Buffet,scooter,,No,Urban,26,20002.519729180254
38.0,4.8,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,20002.519729180254
34.0,4.9,Cloudy,High,2,Drinks,scooter,1.0,No,Metropolitian,38,20002.519729180254
34.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,27,20002.519729180254
20.0,4.7,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.519729180254
31.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.519729180254
25.0,5.0,Sandstorms,High,0,Meal,motorcycle,0.0,No,Metropolitian,27,20002.519729180254
28.0,4.9,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Urban,17,20002.519729180254
39.0,4.1,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,37,20002.519729180254
33.0,4.9,Fog,Medium,0,Drinks,motorcycle,1.0,Yes,Metropolitian,49,20002.519729180254
30.0,4.5,Stormy,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,39,20002.519729180254
25.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,18,20002.519729180254
38.0,4.9,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.519729140517
26.0,4.4,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.519729140517
22.0,4.8,Sunny,Jam,2,Buffet,scooter,1.0,No,Urban,20,20002.519729140517
24.0,4.6,Stormy,Medium,1,Meal,scooter,1.0,No,Urban,26,20002.519729140517
31.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,,27,20002.519729140517
26.0,4.9,Stormy,High,1,Buffet,motorcycle,1.0,No,Urban,21,20002.519729140517
23.0,5.0,Sandstorms,Low,2,Meal,scooter,0.0,No,Urban,11,20002.519729140517
36.0,4.9,Windy,Low,1,Snack,motorcycle,,No,Urban,22,20002.519729140517
20.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Urban,25,20002.519729140517
25.0,4.7,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,20,20002.519729140517
25.0,4.7,Sunny,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,11,20002.519729140517
36.0,4.8,Cloudy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,31,20002.519729140517
20.0,5.0,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,23,20002.519729140517
23.0,4.6,Stormy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,20002.51972913967
35.0,4.7,Sunny,Low,2,Buffet,scooter,0.0,No,Metropolitian,12,20002.51972913967
37.0,5.0,Cloudy,Low,1,Buffet,scooter,1.0,No,Urban,25,20002.51972913967
33.0,4.9,Stormy,Medium,2,Meal,motorcycle,1.0,No,,28,20002.51972913967
22.0,4.2,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.51972913967
23.0,5.0,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.51972913967
34.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Urban,16,20002.51972913967
27.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,49,20002.51972913967
34.0,4.6,Stormy,Low,1,Drinks,motorcycle,1.0,No,Urban,24,20002.51972913967
33.0,4.6,Cloudy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,41,20002.51972913967
29.0,4.6,Fog,Low,1,Snack,motorcycle,0.0,No,Metropolitian,15,20002.51972913967
31.0,4.8,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,17,20002.51972913967
39.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.51972913967
32.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,43,20002.51972913967
21.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,36,20002.51972913967
22.0,4.6,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,24,20002.51972913967
35.0,5.0,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,21,20002.519729138243
29.0,4.9,Sunny,Low,1,Drinks,motorcycle,0.0,No,Urban,24,20002.519729138243
35.0,4.8,Fog,High,2,Drinks,motorcycle,1.0,No,Metropolitian,38,20002.519729138243
30.0,4.8,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.519729138243
,,,,3,Snack,motorcycle,1.0,No,Metropolitian,27,20002.519729138243
39.0,5.0,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,31,20002.519729138243
30.0,4.9,Sunny,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.519729138243
,,Fog,Low,2,Buffet,motorcycle,0.0,No,Urban,11,20002.519729138243
36.0,5.0,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.519729138243
35.0,4.5,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,19,20002.519729138243
,,,,3,Drinks,scooter,3.0,No,Metropolitian,49,20002.519729138243
24.0,4.8,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,14,20002.519729138243
29.0,4.8,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.519729138243
36.0,4.6,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,29,20002.519729138243
25.0,4.6,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,12,20002.519729138243
35.0,4.4,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,36,20002.51972913691
26.0,4.8,Fog,Jam,0,Drinks,motorcycle,1.0,No,Urban,23,20002.51972913691
22.0,4.5,Fog,High,1,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.51972913691
32.0,4.0,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.51972913691
23.0,4.6,Fog,Low,1,Snack,scooter,0.0,No,Urban,18,20002.51972913691
38.0,4.7,Sandstorms,Low,1,Snack,scooter,1.0,No,Metropolitian,24,20002.51972913691
26.0,4.9,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,10,20002.51972913691
31.0,4.5,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,36,20002.51972913691
21.0,4.6,Sunny,Medium,0,Buffet,motorcycle,1.0,No,,22,20002.51972913691
39.0,4.7,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.51972913691
23.0,4.6,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,29,20002.51972913691
21.0,4.9,Stormy,Low,1,Drinks,scooter,0.0,No,Urban,18,20002.51972913691
28.0,4.9,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,24,20002.51972913691
38.0,4.8,Windy,Medium,0,Snack,motorcycle,1.0,No,Semi-Urban,49,20002.519729128406
38.0,4.7,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.519729128406
36.0,4.8,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519729128406
35.0,4.6,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.519729128406
23.0,4.2,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.519729128406
26.0,4.8,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.519729128406
35.0,4.0,Cloudy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,38,20002.519729128406
25.0,4.6,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.519729128406
39.0,4.7,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Urban,21,20002.519729128406
29.0,4.4,Stormy,Low,0,Meal,motorcycle,0.0,No,Urban,20,20002.519729125408
34.0,5.0,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,45,20002.519729125408
27.0,4.9,Cloudy,Low,2,Buffet,scooter,0.0,No,Urban,15,20002.519729125408
31.0,4.9,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.519729125408
22.0,4.5,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,20002.519729125408
37.0,4.6,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29,20002.519729125408
23.0,4.6,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.519729125408
39.0,4.8,Sunny,High,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.519729125408
30.0,4.7,Sunny,Low,2,Buffet,motorcycle,1.0,No,Urban,24,20002.519729125408
27.0,4.5,Windy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,26,20002.519729125408
29.0,4.6,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.519729125408
39.0,4.7,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,,26,20002.519729125408
29.0,4.8,Stormy,Low,1,Meal,scooter,0.0,No,Urban,17,20002.519729125408
,,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,22,20002.519729125408
35.0,4.3,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.519729125408
37.0,4.9,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,21,20002.519729125408
35.0,4.2,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.519729119307
23.0,4.6,Stormy,Low,2,Buffet,scooter,,No,Metropolitian,15,20002.519729119307
22.0,4.7,Cloudy,Medium,1,Snack,scooter,1.0,No,Metropolitian,12,20002.519729119307
21.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,20002.519729119307
,,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,32,20002.519729119307
35.0,4.6,Fog,High,0,Buffet,motorcycle,,No,Metropolitian,29,20002.519729119307
29.0,4.7,Stormy,High,1,Snack,scooter,1.0,No,Urban,13,20002.519729119307
36.0,4.7,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,28,20002.519729119307
34.0,3.6,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,37,20002.519729119307
23.0,4.7,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,20002.519729119307
26.0,4.4,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,36,20002.519729119307
23.0,4.7,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.519729119307
31.0,4.6,Windy,Low,1,Buffet,scooter,0.0,No,Urban,17,20002.519729119307
35.0,4.9,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.519729092113
31.0,4.6,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,18,20002.519729092113
21.0,4.9,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.519729092113
22.0,4.8,Fog,High,2,Buffet,motorcycle,1.0,No,Urban,28,20002.519729092113
27.0,4.9,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,13,20002.519729092113
26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.519729092113
28.0,4.6,Windy,High,2,Drinks,electric_scooter,1.0,No,Urban,27,20002.519729092113
29.0,4.5,Cloudy,Low,2,Meal,scooter,0.0,No,Metropolitian,17,20002.519729092113
35.0,4.6,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.519729092113
25.0,4.5,Windy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.519729092113
20.0,5.0,Sunny,Low,1,Snack,motorcycle,0.0,No,Metropolitian,16,20002.519729092113
37.0,4.9,Stormy,High,0,Drinks,motorcycle,0.0,No,Metropolitian,41,20002.519729092113
,,Stormy,Low,2,Meal,motorcycle,1.0,No,Urban,15,20002.519729092113
32.0,4.8,Cloudy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,17,20002.519729092113
35.0,4.3,Fog,Jam,2,Drinks,motorcycle,2.0,No,Metropolitian,44,20002.519729091586
,,Sunny,Medium,1,Buffet,scooter,0.0,No,Metropolitian,15,20002.519729091586
20.0,4.8,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.519729091586
37.0,4.7,Sandstorms,Jam,2,Snack,scooter,0.0,No,Metropolitian,28,20002.519729091586
20.0,4.4,Stormy,Low,0,Meal,motorcycle,0.0,No,Urban,28,20002.519729091586
35.0,4.9,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.519729091586
23.0,4.8,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,20002.519729091586
27.0,4.8,Sunny,Low,1,Drinks,motorcycle,1.0,No,Urban,16,20002.519729091586
27.0,5.0,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,21,20002.519729091586
35.0,4.9,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,43,20002.519729091586
38.0,4.9,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,42,20002.519729091586
21.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,1.0,Yes,Urban,43,20002.519729091586
26.0,4.9,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.51972907929
22.0,5.0,Sunny,Medium,1,Snack,motorcycle,0.0,No,Urban,11,20002.51972907929
37.0,4.6,Fog,Medium,1,Drinks,motorcycle,2.0,No,Metropolitian,37,20002.51972907929
31.0,4.9,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,28,20002.51972907929
,,Cloudy,Jam,2,Meal,scooter,0.0,No,Metropolitian,47,20002.51972907929
33.0,4.3,Stormy,Jam,1,Buffet,scooter,0.0,No,Urban,43,20002.51972907929
38.0,4.8,Fog,High,2,Meal,electric_scooter,1.0,No,Metropolitian,29,20002.51972907929
38.0,4.6,Fog,Low,1,Drinks,scooter,0.0,No,Metropolitian,18,20002.51972907929
28.0,4.9,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Urban,12,20002.51972907929
31.0,4.7,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,25,20002.51972907929
39.0,4.6,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,20,20002.51972907929
20.0,4.7,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,32,20002.51972907929
31.0,4.5,Sunny,Jam,0,Meal,motorcycle,1.0,No,Urban,25,20002.51972907929
30.0,4.6,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,39,20002.51972907929
20.0,4.2,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.51972907929
34.0,4.8,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,20,20002.51972907929
34.0,4.9,Sunny,High,2,Buffet,scooter,1.0,No,Metropolitian,15,20002.51972907929
36.0,4.7,Sunny,Low,2,Drinks,motorcycle,0.0,No,Urban,18,20002.51972907911
32.0,4.8,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.51972907911
,,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,53,20002.51972907911
36.0,4.6,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.51972907911
23.0,4.5,Sandstorms,High,2,Meal,motorcycle,,No,Urban,11,20002.51972907911
24.0,4.9,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.51972907911
20.0,4.1,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,32,20002.51972907911
21.0,4.6,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.51972907911
29.0,4.9,Cloudy,Jam,2,Meal,scooter,2.0,No,Urban,37,20002.51972907911
33.0,4.8,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,20002.51972907911
28.0,4.7,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,26,20002.51972907911
35.0,4.9,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,15,20002.51972907911
28.0,4.8,Sandstorms,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,16,20002.51972907911
22.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,26,20002.51972907911
36.0,4.9,Cloudy,Medium,2,Snack,scooter,1.0,No,Urban,17,20002.51972907911
30.0,4.9,Stormy,Jam,2,Meal,scooter,1.0,No,Urban,32,20002.519729075942
28.0,4.7,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,12,20002.519729075942
26.0,4.7,Fog,High,1,Meal,scooter,1.0,No,Metropolitian,24,20002.519729075942
36.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.519729075942
25.0,4.6,Fog,High,0,Snack,motorcycle,0.0,No,Urban,26,20002.519729075942
21.0,4.7,Sunny,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,22,20002.519729075942
20.0,4.8,Fog,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.519729075942
32.0,4.5,Stormy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,23,20002.519729075942
24.0,4.6,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,16,20002.519729075942
32.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,47,20002.519729075942
37.0,3.7,Cloudy,Low,2,Drinks,scooter,,No,Metropolitian,32,20002.519729075942
36.0,4.7,Fog,Jam,2,Buffet,electric_scooter,0.0,No,Urban,30,20002.519729075942
34.0,4.6,Stormy,Low,2,Snack,electric_scooter,1.0,No,Urban,21,20002.519729075942
25.0,4.8,Fog,Jam,2,Snack,motorcycle,1.0,No,Urban,23,20002.519729075942
37.0,4.5,Stormy,High,1,Buffet,scooter,0.0,No,Metropolitian,25,20002.519729021213
25.0,4.8,Sandstorms,High,1,Meal,motorcycle,0.0,No,Metropolitian,22,20002.519729021213
35.0,4.7,Sunny,Medium,2,Snack,electric_scooter,1.0,No,,15,20002.519729021213
21.0,4.8,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,18,20002.519729021213
30.0,4.9,Fog,Medium,0,Snack,motorcycle,1.0,Yes,Semi-Urban,48,20002.519729021213
36.0,4.5,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.519729021213
30.0,4.5,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,20002.519729021213
20.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.519729021213
22.0,5.0,Sunny,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,20002.519729021213
21.0,4.9,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,18,20002.519729021213
36.0,4.9,Sandstorms,Low,1,Buffet,scooter,1.0,No,Urban,26,20002.519729021213
28.0,4.7,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,21,20002.51972901509
36.0,4.6,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29,20002.51972901509
38.0,4.0,Stormy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,34,20002.51972901509
33.0,4.9,Sunny,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,12,20002.51972901509
29.0,5.0,Cloudy,Low,1,Meal,motorcycle,0.0,No,Urban,14,20002.51972901509
21.0,5.0,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.51972901509
31.0,3.5,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.51972901509
25.0,4.9,Stormy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,15,20002.51972901509
20.0,4.7,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,17,20002.51972901509
23.0,4.4,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,36,20002.51972901509
38.0,4.8,Sandstorms,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.51972901509
31.0,5.0,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,25,20002.51972901509
32.0,5.0,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,33,20002.51972901509
37.0,4.7,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,21,20002.51972901509
28.0,4.7,Fog,Low,1,Meal,motorcycle,1.0,No,,19,20002.51972901509
23.0,5.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,37,20002.519728999952
36.0,4.6,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,28,20002.519728999952
21.0,5.0,Fog,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,20,20002.519728999952
25.0,4.5,Stormy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,19,20002.519728999952
23.0,4.9,Fog,Low,0,Buffet,motorcycle,0.0,No,Urban,22,20002.519728999952
31.0,4.7,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,30,20002.519728999952
35.0,4.6,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Urban,18,20002.519728999952
39.0,4.7,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,26,20002.519728999952
20.0,4.6,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,20002.519728999952
35.0,4.9,Cloudy,High,1,Drinks,motorcycle,2.0,No,Urban,37,20002.519728999952
21.0,4.6,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519728999952
31.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.519728999952
32.0,4.8,Sunny,Jam,2,Buffet,scooter,1.0,No,Urban,20,20002.519728999952
22.0,4.8,Windy,High,2,Buffet,scooter,0.0,No,Metropolitian,18,20002.519728999952
30.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Urban,25,20002.519728999952
22.0,4.7,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,22,20002.519728999952
30.0,4.8,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,22,20002.519728999952
34.0,4.9,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,23,20002.519728999952
34.0,4.8,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,17,20002.51972878796
37.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Urban,26,20002.51972878796
,,Fog,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.51972878796
34.0,4.6,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Urban,22,20002.51972878796
