,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
1108,28.0,4.7,Sunny,High,1,Snack,motorcycle,0.0,No,Urban,11,20002.520245747077
1109,,,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,26,20002.520245747077
1110,27.0,4.6,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Urban,29,20002.520245747066
1111,37.0,4.8,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,27,20002.520245747066
1112,27.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,15,20002.520245747066
1113,24.0,4.7,Windy,Jam,1,Snack,scooter,0.0,No,Metropolitian,17,20002.520245747066
1114,32.0,4.7,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,30,20002.520245727712
1115,33.0,4.1,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,32,20002.520245727712
1116,36.0,4.7,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,29,20002.520245727435
1117,36.0,4.3,Sandstorms,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,20002.520245727435
1118,22.0,4.7,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.52024572705
1119,21.0,4.6,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.52024572705
1120,35.0,4.5,Stormy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.52024572705
1121,34.0,4.8,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,43,20002.520245725147
1122,20.0,4.7,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.520245725147
1123,22.0,4.7,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,16,20002.520245725147
1124,23.0,4.7,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Urban,16,20002.520245722764
1125,22.0,4.5,Cloudy,High,2,Buffet,scooter,1.0,No,Urban,25,20002.520245722764
1126,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,36,20002.520245722764
1127,23.0,4.7,Fog,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,48,20002.520245722764
1128,22.0,4.4,Fog,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,39,20002.520245720472
1129,33.0,4.5,Stormy,Jam,2,Drinks,scooter,1.0,No,Urban,35,20002.520245720472
1130,29.0,4.6,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,24,20002.520245720472
1131,20.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520245710813
1132,37.0,4.0,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,39,20002.520245710813
1133,,,,,3,Meal,bicycle,0.0,No,Metropolitian,28,20002.520245710653
1134,20.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.520245710653
1135,24.0,4.4,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,34,20002.520245710653
1136,20.0,4.9,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Urban,17,20002.520245710337
1137,28.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.520245710337
1138,32.0,4.8,Sunny,Jam,0,Meal,motorcycle,3.0,Yes,Metropolitian,44,20002.520245710337
1139,36.0,4.8,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Urban,27,20002.520245710337
1140,35.0,4.7,Cloudy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,19,20002.52024570941
1141,23.0,4.7,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19,20002.52024570941
1142,22.0,4.8,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,25,20002.52024570941
1143,29.0,4.8,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.520245704258
1144,23.0,4.5,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,20002.520245704258
1145,27.0,4.4,Cloudy,Jam,2,Buffet,electric_scooter,1.0,No,Urban,35,20002.520245704258
1146,28.0,4.8,Sunny,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,20002.520245697346
1147,22.0,4.7,Cloudy,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,33,20002.520245697346
1148,,,,,3,Snack,electric_scooter,0.0,No,Metropolitian,33,20002.520245697346
1149,37.0,4.9,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,22,20002.52024569563
1150,28.0,4.3,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.52024569563
1151,32.0,4.8,Cloudy,Low,0,Meal,motorcycle,2.0,No,Urban,37,20002.52024569563
1152,30.0,4.6,Sunny,High,2,Buffet,scooter,1.0,No,Metropolitian,19,20002.52024569563
1153,20.0,4.6,Sunny,Jam,2,Snack,scooter,1.0,No,Urban,10,20002.520245682
1154,30.0,4.1,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,20002.520245682
1155,21.0,4.5,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520245682
1156,20.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.520245681528
1157,34.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,28,20002.520245681528
1158,21.0,4.9,Fog,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,25,20002.520245681528
1159,21.0,4.5,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,32,20002.520245681528
1160,28.0,4.9,Stormy,Low,2,Meal,scooter,0.0,No,Urban,17,20002.520245681404
1161,39.0,4.6,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520245681404
1162,33.0,4.4,Windy,High,1,Buffet,motorcycle,0.0,No,Metropolitian,32,20002.520245681404
1163,34.0,4.5,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520245681404
1164,33.0,5.0,Sandstorms,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.520245680847
1165,23.0,4.5,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Urban,18,20002.520245680847
1166,37.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,38,20002.520245680847
1167,38.0,4.1,Windy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,32,20002.520245680847
1168,35.0,4.1,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.52024544916
1169,34.0,5.0,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,20,20002.52024544916
1170,27.0,4.3,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,32,20002.52024544916
1171,20.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,13,20002.52024544916
1172,37.0,4.7,Fog,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,20002.52024544916
1173,22.0,5.0,Sunny,Jam,2,Drinks,motorcycle,1.0,No,Urban,15,20002.52024544916
1174,38.0,5.0,Cloudy,Medium,2,Buffet,electric_scooter,,No,Metropolitian,16,20002.52024544916
1175,36.0,4.6,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,20002.52024544916
1176,27.0,4.6,Windy,Low,2,Drinks,electric_scooter,,No,Urban,10,20002.52024544916
1177,36.0,4.6,Fog,High,2,Meal,electric_scooter,0.0,No,Metropolitian,25,20002.52024544916
1178,32.0,4.6,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Urban,46,20002.52024544916
1179,20.0,4.8,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,21,20002.52024544916
1180,31.0,4.3,Cloudy,Low,0,Buffet,motorcycle,2.0,No,,37,20002.52024544916
1181,20.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Urban,16,20002.52024544916
1182,32.0,4.9,Fog,Low,0,Meal,motorcycle,0.0,No,Urban,29,20002.52024544916
1183,30.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,53,20002.520245440584
1184,22.0,4.8,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,12,20002.520245440584
1185,25.0,4.9,Sunny,High,1,Drinks,scooter,0.0,No,Urban,13,20002.520245440584
1186,,,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.520245440584
1187,29.0,4.8,Windy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.520245440584
1188,20.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,38,20002.520245440584
1189,32.0,4.6,Sandstorms,Low,2,Buffet,scooter,1.0,No,Metropolitian,26,20002.520245440584
1190,32.0,4.8,Sandstorms,High,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520245440584
1191,30.0,4.9,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.520245440584
1192,38.0,4.8,Fog,Low,1,Buffet,scooter,0.0,No,Urban,16,20002.520245440584
1193,31.0,4.5,Windy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,39,20002.520245440584
1194,39.0,4.0,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,37,20002.520245440584
1195,32.0,4.6,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,29,20002.520245440584
1196,32.0,4.9,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.520245440584
1197,35.0,4.9,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,25,20002.52024543946
1198,27.0,4.9,Stormy,Medium,1,Meal,scooter,0.0,No,Metropolitian,20,20002.52024543946
1199,30.0,4.2,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,44,20002.52024543946
1200,22.0,4.9,Windy,Jam,1,Meal,scooter,0.0,No,Metropolitian,18,20002.52024543946
1201,29.0,4.5,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,23,20002.52024543946
1202,36.0,4.1,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24,20002.52024543946
1203,39.0,4.6,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,26,20002.52024543946
1204,29.0,4.7,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.52024543946
1205,25.0,4.9,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,19,20002.52024543946
1206,32.0,4.0,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,40,20002.52024543946
1207,31.0,4.0,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.52024543946
1208,22.0,4.8,Sunny,Low,2,Buffet,motorcycle,0.0,No,Urban,15,20002.52024543946
1209,20.0,4.9,Windy,Jam,1,Snack,scooter,0.0,No,Urban,26,20002.52024543946
1210,,,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.52024543946
1211,22.0,4.7,Stormy,Medium,2,Meal,scooter,0.0,No,Metropolitian,24,20002.52024543917
1212,20.0,4.9,Sandstorms,High,1,Meal,scooter,0.0,No,Urban,14,20002.52024543917
1213,30.0,4.9,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,34,20002.52024543917
1214,23.0,4.8,Sunny,Low,2,Meal,scooter,0.0,No,Metropolitian,24,20002.52024543917
1215,28.0,4.8,Stormy,Low,0,Snack,motorcycle,0.0,No,Urban,15,20002.52024543917
1216,30.0,5.0,Windy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,25,20002.52024543917
1217,25.0,4.8,Fog,Low,2,Drinks,scooter,1.0,No,Urban,14,20002.52024543917
1218,37.0,4.7,Cloudy,Low,1,Snack,scooter,1.0,No,,18,20002.52024543917
1219,28.0,4.6,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,,11,20002.52024543917
1220,25.0,4.7,Sunny,Jam,1,Buffet,scooter,0.0,No,Urban,19,20002.52024543917
1221,27.0,4.7,Sunny,High,1,Snack,motorcycle,1.0,No,Urban,15,20002.52024543917
1222,35.0,4.6,Sandstorms,Medium,2,Meal,scooter,0.0,No,Metropolitian,23,20002.52024543917
1223,21.0,4.8,Sunny,Medium,1,Meal,scooter,0.0,No,Urban,13,20002.52024543917
1224,24.0,4.9,Stormy,Medium,2,Meal,scooter,0.0,No,Metropolitian,24,20002.52024543917
1225,22.0,4.6,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.52024543917
1226,38.0,4.9,Windy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,29,20002.52024543888
1227,27.0,4.1,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.52024543888
1228,26.0,4.5,Sandstorms,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20002.52024543888
1229,21.0,4.8,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Urban,13,20002.52024543888
1230,32.0,4.5,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.52024543888
1231,35.0,4.6,Sandstorms,Low,1,Meal,scooter,0.0,No,Metropolitian,21,20002.52024543888
1232,29.0,4.9,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.52024543888
1233,23.0,4.5,Fog,Jam,2,Drinks,motorcycle,1.0,No,Urban,27,20002.52024543888
1234,31.0,4.9,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20002.52024543888
1235,20.0,4.8,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,20,20002.52024543888
1236,39.0,4.8,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.52024543888
1237,33.0,4.9,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.52024543888
1238,28.0,4.8,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,18,20002.52024543888
1239,22.0,4.9,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,25,20002.52024543888
1240,34.0,4.7,Stormy,High,0,Meal,motorcycle,3.0,No,Metropolitian,44,20002.52024543888
1241,26.0,4.8,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.52024543789
1242,21.0,4.9,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,38,20002.52024543789
1243,22.0,4.9,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,12,20002.52024543789
1244,30.0,4.7,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,29,20002.52024543789
1245,23.0,4.7,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,38,20002.52024543789
1246,33.0,4.2,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.52024543789
1247,36.0,4.3,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,35,20002.52024543789
1248,29.0,5.0,Fog,Jam,1,Meal,motorcycle,1.0,No,Urban,20,20002.52024543789
1249,36.0,4.9,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.52024543789
1250,27.0,5.0,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,26,20002.52024543789
1251,,,,,3,Meal,motorcycle,1.0,No,Metropolitian,32,20002.52024543789
1252,30.0,4.9,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,34,20002.52024543789
1253,39.0,4.1,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32,20002.52024543789
1254,,,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.52024543789
1255,33.0,4.9,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,20002.52024543789
1256,31.0,4.9,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.52024543789
1257,31.0,4.8,Cloudy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.52024543766
1258,24.0,4.5,Fog,Medium,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.52024543766
1259,21.0,5.0,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,18,20002.52024543766
1260,27.0,4.6,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,18,20002.52024543766
1261,38.0,4.7,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,29,20002.52024543766
1262,31.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,,21,20002.52024543766
1263,29.0,5.0,Sunny,Medium,1,Buffet,scooter,,No,Metropolitian,19,20002.52024543766
1264,39.0,4.8,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.52024543766
1265,29.0,4.9,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,15,20002.52024543766
1266,30.0,5.0,Fog,Low,2,Snack,scooter,0.0,No,,17,20002.52024543766
1267,34.0,4.6,Cloudy,High,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.52024543766
1268,36.0,4.3,Windy,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,44,20002.52024543766
1269,34.0,5.0,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,26,20002.52024543766
1270,29.0,4.7,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,14,20002.52024543766
1271,37.0,4.8,Fog,Jam,2,Drinks,scooter,1.0,No,Urban,35,20002.520245437547
1272,22.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.520245437547
1273,27.0,4.1,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,32,20002.520245437547
1274,,,Sandstorms,Jam,1,Meal,scooter,0.0,No,Urban,25,20002.520245437547
1275,31.0,4.4,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,40,20002.520245437547
1276,26.0,4.5,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520245437547
1277,,,,Low,1,Drinks,motorcycle,1.0,No,Urban,29,20002.520245437547
1278,38.0,4.9,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.520245437547
1279,21.0,4.6,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520245437547
1280,35.0,4.7,Sunny,High,1,Meal,scooter,0.0,No,Metropolitian,24,20002.520245437547
1281,21.0,4.7,Sunny,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,14,20002.520245437547
1282,32.0,5.0,Stormy,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,41,20002.520245437547
1283,29.0,4.6,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,20002.520245437547
1284,32.0,4.5,Sandstorms,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,37,20002.520245435004
1285,20.0,4.5,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.520245435004
1286,28.0,4.6,Stormy,Jam,2,Snack,electric_scooter,1.0,No,Urban,14,20002.520245435004
1287,23.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.520245435004
1288,32.0,4.9,Cloudy,Low,0,Meal,motorcycle,,No,Metropolitian,25,20002.520245435004
1289,33.0,4.0,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,35,20002.520245435004
1290,36.0,4.3,Cloudy,High,2,Meal,scooter,2.0,No,Urban,39,20002.520245435004
1291,35.0,3.7,Stormy,Jam,2,Snack,scooter,0.0,No,Metropolitian,31,20002.520245435004
1292,38.0,4.3,Fog,High,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.520245435004
1293,38.0,4.9,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,47,20002.520245435004
1294,37.0,4.4,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,44,20002.520245435004
1295,32.0,4.6,Sunny,Jam,0,Snack,motorcycle,0.0,No,Urban,24,20002.520245435004
1296,38.0,4.6,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,15,20002.520245435004
1297,34.0,4.9,Fog,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,40,20002.520245435004
1298,33.0,4.5,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Urban,28,20002.520245435004
1299,20.0,5.0,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Urban,28,20002.520245435004
1300,20.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520245435004
1301,32.0,4.8,Windy,Low,2,Snack,scooter,1.0,No,Urban,27,20002.520245434767
1302,26.0,4.7,Windy,High,1,Snack,motorcycle,0.0,No,Urban,10,20002.520245434767
1303,36.0,4.7,Stormy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,25,20002.520245434767
1304,21.0,5.0,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520245434767
1305,29.0,4.6,Fog,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,32,20002.520245434767
1306,33.0,4.6,Sandstorms,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,20002.520245434767
1307,31.0,4.7,Cloudy,Low,1,Drinks,scooter,1.0,No,Urban,18,20002.520245434767
1308,32.0,4.8,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,30,20002.520245434767
1309,39.0,4.5,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.520245434767
1310,22.0,4.9,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,30,20002.520245434767
1311,28.0,4.9,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.520245434767
1312,32.0,4.6,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,25,20002.520245434767
1313,39.0,4.8,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,38,20002.520245434767
1314,38.0,4.7,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,30,20002.520245434767
1315,32.0,4.6,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,37,20002.520245434767
1316,37.0,4.8,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.520244128686
1317,33.0,4.9,Sandstorms,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520244128686
1318,29.0,4.7,Stormy,High,0,Meal,motorcycle,2.0,Yes,Metropolitian,39,20002.520244128686
1319,29.0,4.5,Fog,Low,0,Drinks,motorcycle,0.0,No,Urban,24,20002.520244128686
1320,27.0,4.8,Sunny,Medium,2,Meal,scooter,0.0,No,Metropolitian,19,20002.520244128686
1321,28.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,17,20002.520244128686
1322,27.0,4.9,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,22,20002.520244128686
1323,31.0,4.8,Sunny,Low,1,Buffet,scooter,0.0,No,Urban,11,20002.520244128686
1324,20.0,2.5,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,43,20002.520244128686
1325,27.0,4.5,Sandstorms,Medium,1,Meal,motorcycle,0.0,No,Urban,16,20002.520244128686
1326,29.0,4.5,Windy,High,2,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.520244128686
1327,34.0,5.0,Sandstorms,High,0,Snack,motorcycle,1.0,No,Metropolitian,33,20002.520244128686
1328,37.0,4.6,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520244128686
1329,24.0,4.6,Fog,Jam,2,Snack,scooter,1.0,No,Urban,38,20002.52024412837
1330,27.0,4.8,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.52024412837
1331,32.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,,43,20002.52024412837
1332,28.0,4.6,Fog,Low,0,Drinks,motorcycle,0.0,No,Urban,24,20002.52024412837
1333,28.0,5.0,Windy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,17,20002.52024412837
1334,35.0,4.8,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.52024412837
1335,26.0,4.9,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Urban,15,20002.52024412837
1336,36.0,4.6,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,28,20002.52024412837
1337,37.0,4.6,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,27,20002.52024412837
1338,25.0,4.6,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,26,20002.52024412837
1339,35.0,4.6,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.52024412837
1340,25.0,4.6,Windy,Low,1,Snack,motorcycle,0.0,No,Urban,14,20002.52024412837
1341,24.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,16,20002.520244128176
1342,25.0,4.7,Cloudy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,22,20002.520244128176
1343,23.0,5.0,Sunny,High,2,Buffet,scooter,0.0,No,Urban,14,20002.520244128176
1344,24.0,4.9,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Urban,17,20002.520244128176
1345,35.0,4.7,Cloudy,Medium,2,Snack,electric_scooter,0.0,No,,15,20002.520244128176
1346,21.0,4.6,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,20,20002.520244128176
1347,21.0,5.0,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,28,20002.520244128176
1348,37.0,4.8,Sunny,Low,2,Drinks,scooter,0.0,No,Metropolitian,18,20002.520244128176
1349,38.0,4.1,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,50,20002.520244128176
1350,33.0,4.9,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,18,20002.520244128176
1351,27.0,4.1,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,44,20002.520244128176
1352,26.0,4.5,Windy,Jam,1,Meal,scooter,0.0,No,Urban,17,20002.520244128176
1353,25.0,4.8,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,21,20002.520244128176
1354,35.0,4.5,Windy,Low,2,Snack,electric_scooter,0.0,No,Urban,27,20002.520244128176
1355,29.0,4.9,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Urban,21,20002.520244128176
1356,29.0,4.9,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,29,20002.520244126586
1357,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.520244126586
1358,31.0,4.9,Sunny,High,2,Meal,electric_scooter,1.0,No,Metropolitian,21,20002.520244126586
1359,26.0,4.1,Stormy,Low,0,Meal,motorcycle,0.0,No,Urban,22,20002.520244126586
1360,22.0,4.7,Fog,High,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.520244126586
1361,26.0,4.7,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,23,20002.520244126586
1362,29.0,4.6,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,30,20002.520244126586
1363,33.0,4.5,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,22,20002.520244126586
1364,22.0,4.7,Fog,Low,1,Snack,motorcycle,1.0,No,Urban,28,20002.520244126586
1365,29.0,4.9,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520244126586
1366,24.0,4.8,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,23,20002.520244126586
1367,37.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,18,20002.520244126586
